accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.197099999999999970e-01,1.107319999999999971e-01,-9.816226999999999592e+00
-1.047460000000000058e-01,1.047460000000000058e-01,-9.825205000000000410e+00
-1.047460000000000058e-01,1.017539999999999972e-01,-9.825205000000000410e+00
-1.107319999999999971e-01,1.047460000000000058e-01,-9.825205000000000410e+00
-1.167170000000000013e-01,1.077390000000000014e-01,-9.822212000000000387e+00
-1.227030000000000065e-01,9.876100000000000156e-02,-9.816226999999999592e+00
-1.256960000000000022e-01,1.017539999999999972e-01,-9.813233999999999568e+00
-1.256960000000000022e-01,9.876100000000000156e-02,-9.822212000000000387e+00
-1.197099999999999970e-01,9.876100000000000156e-02,-9.837175999999999476e+00
-1.137250000000000066e-01,9.876100000000000156e-02,-9.837175999999999476e+00
-1.077390000000000014e-01,9.876100000000000156e-02,-9.828198000000000434e+00
-1.107319999999999971e-01,1.077390000000000014e-01,-9.822212000000000387e+00
-1.167170000000000013e-01,1.107319999999999971e-01,-9.816226999999999592e+00
-1.137250000000000066e-01,1.107319999999999971e-01,-9.807249000000000549e+00
-1.137250000000000066e-01,1.047460000000000058e-01,-9.822212000000000387e+00
-1.167170000000000013e-01,1.047460000000000058e-01,-9.825205000000000410e+00
-1.137250000000000066e-01,1.017539999999999972e-01,-9.825205000000000410e+00
-1.047460000000000058e-01,9.576800000000000590e-02,-9.834182999999999453e+00
-1.047460000000000058e-01,9.876100000000000156e-02,-9.834182999999999453e+00
-1.047460000000000058e-01,1.017539999999999972e-01,-9.828198000000000434e+00
-1.077390000000000014e-01,1.107319999999999971e-01,-9.828198000000000434e+00
-1.107319999999999971e-01,1.077390000000000014e-01,-9.825205000000000410e+00
-1.227030000000000065e-01,9.876100000000000156e-02,-9.822212000000000387e+00
-1.197099999999999970e-01,1.077390000000000014e-01,-9.816226999999999592e+00
-1.167170000000000013e-01,1.137250000000000066e-01,-9.813233999999999568e+00
-1.137250000000000066e-01,1.077390000000000014e-01,-9.825205000000000410e+00
-1.077390000000000014e-01,9.876100000000000156e-02,-9.831191000000000457e+00
-1.017539999999999972e-01,9.876100000000000156e-02,-9.831191000000000457e+00
-1.047460000000000058e-01,1.047460000000000058e-01,-9.831191000000000457e+00
-1.107319999999999971e-01,1.047460000000000058e-01,-9.816226999999999592e+00
-1.227030000000000065e-01,1.017539999999999972e-01,-9.810240999999999545e+00
-1.286879999999999968e-01,1.017539999999999972e-01,-9.834182999999999453e+00
-1.286879999999999968e-01,1.047460000000000058e-01,-9.831191000000000457e+00
-1.256960000000000022e-01,1.047460000000000058e-01,-9.816226999999999592e+00
-1.167170000000000013e-01,1.047460000000000058e-01,-9.816226999999999592e+00
-1.167170000000000013e-01,9.576800000000000590e-02,-9.825205000000000410e+00
-1.077390000000000014e-01,8.679000000000000603e-02,-9.825205000000000410e+00
-1.107319999999999971e-01,9.576800000000000590e-02,-9.828198000000000434e+00
-1.197099999999999970e-01,1.047460000000000058e-01,-9.822212000000000387e+00
-1.227030000000000065e-01,1.047460000000000058e-01,-9.816226999999999592e+00
-1.137250000000000066e-01,1.047460000000000058e-01,-9.822212000000000387e+00
-1.167170000000000013e-01,9.876100000000000156e-02,-9.822212000000000387e+00
-1.107319999999999971e-01,9.876100000000000156e-02,-9.819219999999999615e+00
-1.107319999999999971e-01,1.047460000000000058e-01,-9.813233999999999568e+00
-1.197099999999999970e-01,1.107319999999999971e-01,-9.816226999999999592e+00
-1.227030000000000065e-01,1.017539999999999972e-01,-9.822212000000000387e+00
-1.197099999999999970e-01,1.017539999999999972e-01,-9.816226999999999592e+00
-1.227030000000000065e-01,1.077390000000000014e-01,-9.810240999999999545e+00
-1.227030000000000065e-01,1.047460000000000058e-01,-9.813233999999999568e+00
-1.316809999999999925e-01,1.047460000000000058e-01,-9.825205000000000410e+00
-1.197099999999999970e-01,1.017539999999999972e-01,-9.825205000000000410e+00
-1.077390000000000014e-01,1.017539999999999972e-01,-9.825205000000000410e+00
-9.576800000000000590e-02,1.017539999999999972e-01,-9.834182999999999453e+00
-9.876100000000000156e-02,1.107319999999999971e-01,-9.831191000000000457e+00
-1.077390000000000014e-01,1.077390000000000014e-01,-9.822212000000000387e+00
-1.167170000000000013e-01,1.047460000000000058e-01,-9.816226999999999592e+00
