gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.655572222222310985e-03,-3.599534444444435401e-03,4.646283333333321199e-03
1.757042777777768905e-02,-3.599534444444435401e-03,4.646283333333321199e-03
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
-1.655572222222310985e-03,-3.599534444444435401e-03,4.646283333333321199e-03
-1.655572222222310985e-03,-3.599534444444435401e-03,4.646283333333321199e-03
-2.088157222222231102e-02,-3.599534444444435401e-03,4.646283333333321199e-03
-2.088157222222231102e-02,-3.599534444444435401e-03,4.646283333333321199e-03
-2.088157222222231102e-02,-3.599534444444435401e-03,4.646283333333321199e-03
-2.088157222222231102e-02,-3.599534444444435401e-03,4.646283333333321199e-03
-1.655572222222310985e-03,-3.599534444444435401e-03,-1.457971666666667970e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-1.457971666666667970e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-3.380571666666667974e-02
1.757042777777768905e-02,1.562646555555556593e-02,-3.380571666666667974e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-1.457971666666667970e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-1.457971666666667970e-02
-2.088157222222231102e-02,1.562646555555556593e-02,-1.457971666666667970e-02
-2.088157222222231102e-02,1.562646555555556593e-02,4.646283333333321199e-03
-2.088157222222231102e-02,1.562646555555556593e-02,4.646283333333321199e-03
-2.088157222222231102e-02,1.562646555555556593e-02,4.646283333333321199e-03
-2.088157222222231102e-02,1.562646555555556593e-02,4.646283333333321199e-03
-1.655572222222310985e-03,-3.599534444444435401e-03,4.646283333333321199e-03
1.757042777777768905e-02,-3.599534444444435401e-03,4.646283333333321199e-03
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
1.757042777777768905e-02,-3.599534444444435401e-03,-1.457971666666667970e-02
1.757042777777768905e-02,1.562646555555556593e-02,-1.457971666666667970e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-1.457971666666667970e-02
-1.655572222222310985e-03,1.562646555555556593e-02,-1.457971666666667970e-02
