accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.016999999999999738e-02,7.686400000000000177e-02,-9.812500000000000000e+00
3.925800000000000123e-02,7.266599999999999449e-02,-9.797622999999999749e+00
3.506499999999999895e-02,8.854800000000000171e-02,-9.794263000000000829e+00
2.083199999999999982e-02,8.795400000000000440e-02,-9.810546999999999684e+00
3.046499999999999903e-02,9.749800000000000133e-02,-9.816902999999999935e+00
4.733899999999999914e-02,9.894300000000000317e-02,-9.814838999999999203e+00
4.526899999999999674e-02,8.952999999999999847e-02,-9.823911000000000726e+00
4.504699999999999677e-02,8.549500000000000155e-02,-9.832129000000000119e+00
4.224800000000000083e-02,9.120200000000000529e-02,-9.799580999999999875e+00
4.128899999999999931e-02,9.339799999999999491e-02,-9.807985000000000397e+00
3.048800000000000121e-02,1.007839999999999986e-01,-9.815625999999999962e+00
4.287200000000000039e-02,8.436799999999999855e-02,-9.807643000000000555e+00
4.546700000000000047e-02,8.676999999999999991e-02,-9.817088000000000036e+00
3.776999999999999802e-02,8.185099999999999321e-02,-9.810864999999999725e+00
4.052100000000000146e-02,8.513999999999999346e-02,-9.810904999999999987e+00
4.320299999999999835e-02,8.807299999999999851e-02,-9.810568999999999207e+00
4.407799999999999913e-02,9.634700000000000208e-02,-9.816257000000000232e+00
3.854500000000000287e-02,9.914900000000000102e-02,-9.823676999999999992e+00
4.055199999999999777e-02,8.461299999999999377e-02,-9.818500999999999479e+00
3.619700000000000001e-02,8.362400000000000388e-02,-9.809913999999999135e+00
4.125299999999999800e-02,9.085600000000000620e-02,-9.789737999999999829e+00
4.287599999999999745e-02,8.712699999999999612e-02,-9.807204000000000477e+00
2.574200000000000099e-02,9.063300000000000523e-02,-9.810460000000000846e+00
2.871699999999999947e-02,9.455500000000000016e-02,-9.826351999999999975e+00
3.700500000000000317e-02,9.381299999999999362e-02,-9.836964999999999293e+00
3.890300000000000008e-02,8.902999999999999803e-02,-9.825678999999999164e+00
3.942299999999999971e-02,9.337600000000000067e-02,-9.820282000000000622e+00
4.711499999999999716e-02,8.311200000000000532e-02,-9.813852000000000686e+00
3.743500000000000300e-02,8.320299999999999918e-02,-9.796381999999999479e+00
3.409700000000000231e-02,1.081519999999999981e-01,-9.810978000000000421e+00
4.203899999999999998e-02,9.891700000000000492e-02,-9.805355999999999739e+00
3.907000000000000056e-02,1.057639999999999969e-01,-9.818566999999999823e+00
3.366500000000000048e-02,1.032079999999999942e-01,-9.815571000000000268e+00
3.089400000000000132e-02,9.380199999999999649e-02,-9.823389000000000593e+00
4.317499999999999810e-02,9.711599999999999400e-02,-9.825253999999999266e+00
6.039200000000000124e-02,9.120200000000000529e-02,-9.817285999999999291e+00
5.328000000000000097e-02,1.066949999999999982e-01,-9.802583999999999520e+00
4.563799999999999801e-02,8.506600000000000272e-02,-9.808160000000000878e+00
2.735200000000000131e-02,9.734399999999999997e-02,-9.794919000000000153e+00
3.316800000000000304e-02,1.000820000000000043e-01,-9.821011000000000379e+00
4.273899999999999921e-02,9.184900000000000009e-02,-9.809552999999999301e+00
3.529100000000000292e-02,8.870100000000000207e-02,-9.821968999999999284e+00
3.798599999999999893e-02,1.022340000000000054e-01,-9.821650999999999243e+00
4.721199999999999702e-02,9.110500000000000542e-02,-9.806298999999999211e+00
4.337699999999999889e-02,8.106499999999999817e-02,-9.814149999999999707e+00
3.895900000000000057e-02,9.161099999999999799e-02,-9.806850999999999985e+00
4.330200000000000021e-02,9.401700000000000335e-02,-9.804278999999999300e+00
3.414999999999999980e-02,9.082899999999999308e-02,-9.806084999999999496e+00
3.175700000000000051e-02,9.489300000000000512e-02,-9.813128000000000739e+00
