gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.340910666666666723e-02,3.472153333333366509e-03,-2.007281222222220829e-02
2.377589333333332902e-02,-6.909846666666635828e-03,-1.347081222222221153e-02
3.005589333333332988e-02,-6.294284666666663530e-02,-6.110812222222210439e-03
-7.606110666666666964e-02,-7.947484666666664033e-02,2.058218777777779188e-02
4.278789333333333361e-02,-2.843784666666663782e-02,-1.404681222222220992e-02
1.746989333333332992e-02,4.337515333333336054e-02,-1.406581222222220984e-02
4.488089333333333125e-02,-7.141846666666638865e-03,1.644218777777779056e-02
6.305089333333332990e-02,-3.175846666666634621e-03,7.037218777777778933e-02
-1.351210666666666921e-02,-4.188284666666663991e-02,5.802187777777790406e-03
-2.853106666666670871e-03,3.885815333333336730e-02,-7.681222222221013862e-05
-4.992110666666667307e-02,1.839815333333336134e-02,-4.159081222222221069e-02
-3.282106666666670565e-03,1.065415333333336045e-02,-1.199581222222221091e-02
-2.310666666667038696e-05,-3.727846666666638498e-03,-8.217812222222210805e-03
-3.479310666666667051e-02,2.315615333333335968e-02,2.187318777777779236e-02
6.544789333333332626e-02,5.172153333333366632e-03,2.572018777777778861e-02
3.405889333333333296e-02,8.205815333333335571e-02,9.346018777777778674e-02
-6.574106666666670352e-03,5.766015333333336657e-02,5.085118777777779264e-02
-6.524210666666667435e-02,6.215215333333336256e-02,-3.004381222222220899e-02
-4.163110666666666737e-02,-3.522784666666663178e-02,9.721187777777789280e-03
-2.980110666666666713e-02,-6.696084666666662910e-02,-8.229812222222210663e-03
-3.162510666666666637e-02,-1.487084666666663862e-02,-4.058181222222220774e-02
-4.511710666666667036e-02,7.690915333333336878e-02,-5.192812222222210894e-03
1.421989333333333050e-02,5.673815333333336042e-02,-4.430812222222210370e-03
2.686589333333333149e-02,6.899515333333336442e-02,4.160118777777778443e-02
5.237789333333332797e-02,4.659015333333337006e-02,5.109718777777778886e-02
4.018893333333329633e-03,3.014015333333336377e-02,4.916018777777779458e-02
-4.192910666666666702e-02,8.842153333333366283e-03,-7.063981222222220913e-02
-1.140410666666667044e-02,1.017615333333336120e-02,-4.067481222222221054e-02
2.456989333333333206e-02,-2.387684666666663527e-02,5.263187777777789123e-03
2.994989333333333142e-02,-1.334584666666664005e-02,-4.489981222222221013e-02
2.203389333333333200e-02,1.163715333333335822e-02,-1.129781222222221021e-02
3.711589333333333018e-02,-1.749846666666637907e-03,1.377018777777778979e-02
8.308589333333332716e-02,-1.232628466666666339e-01,3.717418777777778405e-02
6.158589333333332888e-02,-1.136084666666663939e-02,-2.571281222222221094e-02
4.658933333333294645e-04,6.514815333333336123e-02,-1.419981222222221028e-02
-7.313106666666670426e-03,2.068915333333336271e-02,-3.446681222222221230e-02
3.540289333333333094e-02,-1.000084666666663930e-02,1.089718777777778924e-02
-1.800010666666666814e-02,-1.374684666666663863e-02,5.185187777777790913e-03
-3.616910666666667273e-02,5.642015333333336158e-02,5.318777777778976867e-05
-1.700710666666667079e-02,3.337115333333336153e-02,-3.464381222222220891e-02
3.011089333333332937e-02,-5.679684666666663662e-02,1.063418777777778990e-02
1.042589333333332827e-02,-3.485884666666663745e-02,-5.733812222222210708e-03
-1.823910666666667124e-02,-3.194984666666663559e-02,5.745187777777788912e-03
1.882389333333333095e-02,-3.903384666666663561e-02,-7.135812222222210309e-03
5.165589333333332756e-02,1.611015333333336297e-02,-1.319181222222221006e-02
1.918893333333329546e-03,5.806415333333336815e-02,1.667018777777778960e-02
1.283789333333332922e-02,-3.887284666666663419e-02,8.608187777777789873e-03
-1.640010666666667088e-02,-4.246284666666663710e-02,1.000187777777789694e-03
2.401893333333329252e-03,-6.556584666666663563e-02,-3.341681222222220998e-02
-2.146510666666667094e-02,-1.311684666666664001e-02,2.362718777777779097e-02
-2.172610666666666829e-02,-3.777584666666664037e-02,-3.053481222222221084e-02
-3.751910666666666977e-02,-2.668784666666663627e-02,-5.028281222222220903e-02
5.020289333333333159e-02,-1.040784666666663694e-02,-8.015981222222220981e-02
-5.218810666666667125e-02,-2.496084666666663690e-02,1.384918777777778900e-02
8.224893333333330170e-03,-2.481984666666663814e-02,5.062118777777778467e-02
1.646789333333333050e-02,-4.036784666666663746e-02,-3.885812222222210892e-03
-1.239910666666666980e-02,4.261533333333664131e-04,-3.092812222222209723e-03
-5.982310666666666721e-02,-4.258084666666663715e-02,1.602118777777778932e-02
7.445893333333329124e-03,3.674315333333336153e-02,-6.244812222222210878e-03
2.321389333333332902e-02,5.201815333333335845e-02,6.142618777777777983e-02
-5.019210666666666654e-02,3.136515333333336764e-02,5.597818777777778532e-02
1.252089333333332791e-02,-3.161846666666634498e-03,5.465718777777778259e-02
-1.400410666666666859e-02,-1.935484666666663356e-02,-2.449181222222221108e-02
-7.038106666666671223e-03,-7.778284666666664127e-02,-3.582181222222220740e-02
-1.756310666666666825e-02,-7.047484666666663233e-02,2.133118777777779154e-02
3.704989333333333357e-02,3.039415333333336799e-02,2.803018777777778817e-02
2.109893333333329526e-03,2.182815333333336383e-02,3.332518777777779273e-02
5.212989333333332975e-02,-2.369884666666663767e-02,2.568318777777778630e-02
-2.317810666666667019e-02,3.105815333333336592e-02,2.489618777777779027e-02
-5.333910666666667050e-02,-2.082084666666663558e-02,-1.770812222222211199e-03
-1.642810666666667113e-02,-3.219384666666663675e-02,7.151187777777789911e-03
-5.048410666666666713e-02,1.198041533333333575e-01,9.215718777777778814e-02
-4.655710666666666719e-02,9.175715333333336887e-02,2.060618777777778812e-02
-3.800710666666667209e-02,-2.038846666666635499e-03,-2.061081222222221204e-02
1.057889333333332862e-02,4.899153333333364224e-03,4.583618777777778708e-02
-2.275710666666666895e-02,-7.996984666666663577e-02,1.843818777777778833e-02
