ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
40.733319,-74.056261,0,0,0,0,-50,0,0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0,0,0,0,0,0,200,1
5,0,0,0,4,0,0,10,1
3,90,0,0,0,0,0,15,1
5,0,0,0,0,0,0,5,1
5,-15,0,0,7,0,0,4,1
5,0,0,0,7,0,0,3,1
5,115,0,0,10,0,0,3,1
2,152,0,0,10,0,0,3,1
2,138,0,0,20,0,0,10,1
2,144,0,0,20,0,0,5,1
2,137,0,0,20,0,0,3,1
1,-6,0,0,0,0,0,1,1
1,-3,0,0,0,0,0,2,1
1,-5,0,0,0,0,0,5,1
1,0,0,0,0,0,0,1,1
1,-7,0,0,0,0,0,2,1
1,2,0,0,0,0,0,1,1
1,3,0,0,0,0,0,2,1
1,0,0,0,0,0,0,6,1
2,97.5,0,0,20,0,0,5,1
1,0,0,0,0,0,0,7,1
2,100,0,0,20,0,0,2,1
2,102,0,0,20,0,0,2,1
2,96,0,0,20,0,0,10,1
2,98,0,0,20,0,0,10,1
1,0,0,0,0,0,0,2,1
2,95,0,0,20,0,0,3.5,1
2,100,0,0,20,0,0,3,1
2,90,0,0,20,0,0,2,1
2,98,0,0,20,0,0,5,1
2,107,0,0,20,0,0,2,1
2,107,0,0,20,0,0,18,0
1,0,0,0,0,0,0,8,0
2,95,0,0,20,0,0,4,0
1,0,0,0,0,0,0,15,0
2,102,0,0,20,0,0,20,0
1,0,0,0,0,0,0,35,0
2,97.5,0,0,20,0,0,20,0
1,0,0,0,0,0,0,1.5,0
2,115,0,0,20,0,0,6,0
2,135,0,0,20,0,0,20,0
1,0,0,0,0,0,0,4.4,0
1,0,0,0,-1,0,0,6,1
1,10,0,0,0,0,0,2,1
1,20,0,0,0,0,0,2,1
1,0,0,0,0,0,0,1,1
1,17,0,0,0,0,0,2,1
1,8,0,0,0,0,0,1.5,1
1,25,0,0,-1,0,0,1.3,1
1,0,0,0,-1,0,0,2,1
2,300,0,0,0,0,0,20,1
1,0,0,0,0,0,0,40,1
