ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
31.508183,120.401989,0,0,0,0,183,0,0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0,0,0,0,0,0,200,1
5,0,0,0,9.5,0,0,20,1
5,-70,0,0,5,0,0,25,1
5,0,0,0,10,0,0,25,1
1,0,0,0,0,0,0,16.8,1
5,-68,0,0,5,0,0,25,1
5,0,0,0,10,0,0,25,1
1,0,0,0,0,0,0,17,1
5,-90,0,0,5,0,0,25,1
5,0,0,0,10,0,0,25,1
1,0,0,0,0,0,0,9,1
3,12,0,0,0,0,0,5,1
1,0,0,0,0,0,0,7,1
5,0,0,0,0,0,0,5,1
5,-112,0,0,10,0,0,10,1
1,0,0,0,0,0,0,8,1
1,10,0,0,0,0,0,1,1
1,2.8,0,0,0,0,0,10,1
1,2,0,0,0,0,0,3,1
1,0,0,0,0,0,0,1,1
5,80,0,0,5,0,0,10,1
5,0,0,0,10,0,0,10,1
1,-4,0,0,0,0,0,5,1
1,0,0,0,0,0,0,6.5,1
5,89,0,0,5,0,0,10,1
5,0,0,0,10,0,0,10,1
1,0,0,0,0,0,0,9,1
5,-94.5,0,0,10,0,0,10,1
1,0,0,0,0,0,0,153.5,1
5,-88,0,0,10,0,0,10,1
1,0,0,0,0,0,0,20,1
3,-5,0,0,0,0,0,5,1
3,5.6,0,0,0,0,0,5,1
5,0,0,0,20,0,0,40,1
1,0,0,0,0,0,0,13,1
3,3,0,0,0,0,0,5,1
5,0,0,0,0,0,0,40,1
5,0,0,0,5,0,0,20,1
5,-90,0,0,5,0,0,20,1
5,0,0,0,8,0,0,20,1
5,7,0,0,8,0,0,8,1
5,7,0,0,10,0,0,8,1
5,-15,0,0,20,0,0,40,1
1,0,0,0,0,0,0,6,1
5,-0.5,0,0,15,0,0,40,1
1,0,0,0,0,0,0,43.5,1
5,-90,0,0,10,0,0,40,1
5,0,0,0,20,0,0,40,1
1,0,0,0,0,0,0,18,1
5,0,0,0,5,0,0,40,1
5,88,0,0,5,0,0,40,1
5,2,0,0,5,0,0,40,1
1,0,0,0,0,0,0,9,1
5,-16,0,0,5,0,0,40,1
1,-1.2,0,0,0,0,0,20,1
1,-0.8,0,0,0,0,0,13,1
5,96,0,0,5,0,0,40,1
5,0,0,0,0,0,0,40,1
