ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
32,120,0,0,0,0,0,0,0
command type,yaw (rad),pitch (rad),roll (rad),vx_body (m/s),reserved,reserved,command duration (s),reserved
1,0,0,0,0,,,10,0
5,0,45,0,10,,,250,0
1,0,0,0,0,,,10,0
3,90,-45,0,0,,,25,0
1,0,0,0,0,,,50,0
3,180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
3,-180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
3,180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
3,-180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
3,180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
3,-180,0,0,0,,,25,0
1,0,0,0,0,,,50,0
5,0,0,0,0,,,10,0
