freq,x,y,z
0,5.48E-06,5.48E-06,5.48E-06
0.012207031,6.69E-06,6.69E-06,6.69E-06
0.024414063,1.26E-06,1.26E-06,1.26E-06
0.036621094,1.53E-08,1.53E-08,1.53E-08
0.048828125,7.30E-09,7.30E-09,7.30E-09
0.061035156,4.20E-11,4.20E-11,4.20E-11
0.073242188,4.04E-10,4.04E-10,4.04E-10
0.085449219,1.23E-10,1.23E-10,1.23E-10
0.09765625,1.72E-11,1.72E-11,1.72E-11
0.109863281,3.97E-11,3.97E-11,3.97E-11
0.122070313,1.93E-12,1.93E-12,1.93E-12
0.134277344,9.93E-12,9.93E-12,9.93E-12
0.146484375,4.88E-12,4.88E-12,4.88E-12
0.158691406,2.06E-13,2.06E-13,2.06E-13
0.170898438,5.47E-12,5.47E-12,5.47E-12
0.183105469,1.82E-12,1.82E-12,1.82E-12
0.1953125,1.26E-12,1.26E-12,1.26E-12
0.207519531,6.35E-12,6.35E-12,6.35E-12
0.219726563,6.18E-13,6.18E-13,6.18E-13
0.231933594,4.51E-12,4.51E-12,4.51E-12
0.244140625,1.04E-11,1.04E-11,1.04E-11
0.256347656,3.04E-11,3.04E-11,3.04E-11
0.268554688,1.54E-10,1.54E-10,1.54E-10
0.280761719,3.09E-10,3.09E-10,3.09E-10
0.29296875,2.52E-10,2.52E-10,2.52E-10
0.305175781,1.94E-10,1.94E-10,1.94E-10
0.317382813,2.80E-10,2.80E-10,2.80E-10
0.329589844,2.20E-10,2.20E-10,2.20E-10
0.341796875,8.00E-11,8.00E-11,8.00E-11
0.354003906,5.86E-11,5.86E-11,5.86E-11
0.366210938,1.88E-10,1.88E-10,1.88E-10
0.378417969,4.21E-10,4.21E-10,4.21E-10
0.390625,3.90E-10,3.90E-10,3.90E-10
0.402832031,1.54E-10,1.54E-10,1.54E-10
0.415039063,6.14E-11,6.14E-11,6.14E-11
0.427246094,5.05E-11,5.05E-11,5.05E-11
0.439453125,5.73E-11,5.73E-11,5.73E-11
0.451660156,1.36E-10,1.36E-10,1.36E-10
0.463867188,6.09E-10,6.09E-10,6.09E-10
0.476074219,1.31E-09,1.31E-09,1.31E-09
0.48828125,7.99E-10,7.99E-10,7.99E-10
0.500488281,8.32E-11,8.32E-11,8.32E-11
0.512695313,2.34E-10,2.34E-10,2.34E-10
0.524902344,1.24E-09,1.24E-09,1.24E-09
0.537109375,1.03E-09,1.03E-09,1.03E-09
0.549316406,1.75E-09,1.75E-09,1.75E-09
0.561523438,6.69E-09,6.69E-09,6.69E-09
0.573730469,8.14E-09,8.14E-09,8.14E-09
0.5859375,3.87E-09,3.87E-09,3.87E-09
0.598144531,5.63E-09,5.63E-09,5.63E-09
0.610351563,4.44E-09,4.44E-09,4.44E-09
0.622558594,2.11E-09,2.11E-09,2.11E-09
0.634765625,2.83E-08,2.83E-08,2.83E-08
0.646972656,4.36E-08,4.36E-08,4.36E-08
0.659179688,1.79E-08,1.79E-08,1.79E-08
0.671386719,1.61E-08,1.61E-08,1.61E-08
0.68359375,5.03E-08,5.03E-08,5.03E-08
0.695800781,6.33E-08,6.33E-08,6.33E-08
0.708007813,5.38E-08,5.38E-08,5.38E-08
0.720214844,6.09E-08,6.09E-08,6.09E-08
0.732421875,1.22E-07,1.22E-07,1.22E-07
0.744628906,2.13E-07,2.13E-07,2.13E-07
0.756835938,2.03E-07,2.03E-07,2.03E-07
0.769042969,1.05E-07,1.05E-07,1.05E-07
0.78125,8.93E-08,8.93E-08,8.93E-08
0.793457031,1.39E-07,1.39E-07,1.39E-07
0.805664063,1.26E-07,1.26E-07,1.26E-07
0.817871094,9.23E-08,9.23E-08,9.23E-08
0.830078125,1.15E-07,1.15E-07,1.15E-07
0.842285156,1.51E-07,1.51E-07,1.51E-07
0.854492188,1.44E-07,1.44E-07,1.44E-07
0.866699219,1.47E-07,1.47E-07,1.47E-07
0.87890625,2.60E-07,2.60E-07,2.60E-07
0.891113281,5.04E-07,5.04E-07,5.04E-07
0.903320313,6.03E-07,6.03E-07,6.03E-07
0.915527344,1.98E-07,1.98E-07,1.98E-07
0.927734375,2.72E-08,2.72E-08,2.72E-08
0.939941406,3.18E-07,3.18E-07,3.18E-07
0.952148438,2.53E-07,2.53E-07,2.53E-07
0.964355469,5.71E-08,5.71E-08,5.71E-08
0.9765625,2.18E-08,2.18E-08,2.18E-08
0.988769531,1.67E-07,1.67E-07,1.67E-07
1.00097656,5.53E-07,5.53E-07,5.53E-07
1.01318359,4.36E-07,4.36E-07,4.36E-07
1.02539063,2.18E-08,2.18E-08,2.18E-08
1.03759766,3.15E-07,3.15E-07,3.15E-07
1.04980469,3.94E-07,3.94E-07,3.94E-07
1.06201172,1.84E-07,1.84E-07,1.84E-07
1.07421875,5.86E-07,5.86E-07,5.86E-07
1.08642578,7.98E-07,7.98E-07,7.98E-07
1.09863281,3.80E-07,3.80E-07,3.80E-07
1.11083984,2.02E-07,2.02E-07,2.02E-07
1.12304688,1.60E-06,1.60E-06,1.60E-06
1.13525391,5.70E-06,5.70E-06,5.70E-06
1.14746094,8.73E-06,8.73E-06,8.73E-06
1.15966797,6.68E-06,6.68E-06,6.68E-06
1.171875,2.76E-06,2.76E-06,2.76E-06
1.18408203,6.41E-07,6.41E-07,6.41E-07
1.19628906,3.08E-07,3.08E-07,3.08E-07
1.20849609,2.01E-06,2.01E-06,2.01E-06
1.22070313,2.77E-06,2.77E-06,2.77E-06
1.23291016,6.27E-06,6.27E-06,6.27E-06
1.24511719,1.46E-05,1.46E-05,1.46E-05
1.25732422,1.79E-05,1.79E-05,1.79E-05
1.26953125,1.37E-05,1.37E-05,1.37E-05
1.28173828,7.79E-06,7.79E-06,7.79E-06
1.29394531,5.33E-06,5.33E-06,5.33E-06
1.30615234,9.67E-06,9.67E-06,9.67E-06
1.31835938,1.91E-05,1.91E-05,1.91E-05
1.33056641,1.98E-05,1.98E-05,1.98E-05
1.34277344,9.22E-06,9.22E-06,9.22E-06
1.35498047,2.19E-06,2.19E-06,2.19E-06
1.3671875,6.10E-07,6.10E-07,6.10E-07
1.37939453,2.80E-06,2.80E-06,2.80E-06
1.39160156,1.27E-05,1.27E-05,1.27E-05
1.40380859,2.54E-05,2.54E-05,2.54E-05
